step,customer,age,gender,merchant,category,amount,fraud
,'C583110837','3','M',,,,1
,'C1332295774','3','M',,,,1
,'C1160421902','3','M',,,,1
,'C966214713','3','M',,,,1
,'C1450140987','4','F',,,,1
,'C60026962','2','F',,,,1
,'C1685492470','2','F',,,,1
,'C1275518867','5','F',,,,1
,'C1734487337','4','F',,,,1
,'C204205576','3','F',,,,1
,'C583110837','3','M',,,,1
,'C1079254393','1','F',,,,1
,'C330615170','2','F',,,,1
,'C330615170','2','F',,,,1
,'C1275518867','5','F',,,,1
,'C1685492470','2','F',,,,1
,'C1038215695','4','M',,,,1
,'C1764447156','3','F',,,,1
,'C555482626','3','F',,,,1
0,'C792341594',,'M',,,,1
0,'C2027310658',,'F',,,,1
0,'C967677653',,'F',,,,1
0,'C375144053',,'F',,,,1
0,'C375144053',,'F',,,,1
0,'C1490048317',,'F',,,,1
0,'C1490048317',,'F',,,,1
0,'C1685492470',,'F',,,,1
0,'C1275518867',,'F',,,,1
0,'C1977646698',,'F',,,,1
0,'C1977646698',,'F',,,,1
0,'C1560676680',,'F',,,,1
0,'C1171622243',,'M',,,,1
0,'C375144053',,'F',,,,1
0,'C525850964',,'F',,,,1
0,'C179390259',,'F',,,,1
0,'C179390259',,'F',,,,1
0,'C1685492470',,'F',,,,1
0,'C375144053',,'F',,,,1
0,'C1079254393',,'F',,,,1
0,'C1175850429',,'M',,,,1
1,,'4',,'M980657600','es_sportsandtoys',255.14,1
1,,'4',,'M980657600','es_sportsandtoys',21.93,1
1,,'6',,'M1535107174','es_wellnessandbeauty',212.16,1
1,,'1',,'M1535107174','es_wellnessandbeauty',329.13,1
1,,'2',,'M480139044','es_health',933.69,1
1,,'1',,'M480139044','es_health',132.13,1
1,,'3',,'M3697346','es_leisure',285.16,1
1,,'1',,'M3697346','es_leisure',352.7,1
1,'C1174735331','3',,'M1649169323','es_sportsandtoys',1041.31,1
1,'C957324981','4',,'M1649169323','es_sportsandtoys',591.83,1
1,'C375144053','6',,'M923029380','es_home',298.44,1
1,'C375144053','6',,'M923029380','es_home',112.77,1
1,'C1079254393','1',,'M480139044','es_health',905.54,1
1,'C375144053','6',,'M480139044','es_health',1126.96,1
1,'C1273692645','3',,'M480139044','es_health',222.26,1
1,,'3',,'M480139044','es_health',399.22,1
1,,'3',,'M495352832','es_travel',3387.85,1
1,,'1',,'M495352832','es_travel',6888.3,1
1,,'4',,'M980657600','es_sportsandtoys',397.63,1
1,'C309177915','3',,'M980657600','es_sportsandtoys',92.01,1
1,'C1464489812','4',,'M480139044','es_health',809.46,1
1,,'3','F',,,896.93,1
1,,'3','M',,,396.36,1
1,,'5','F',,,661.53,1
1,,'3','F',,,801.49,1
1,,'3','M',,,149.11,1
1,,'5','F',,,265.33,1
1,,'3','F',,,167.27,1
1,,'3','M',,,836.04,1
1,,'3','F',,,195.37,1
1,,'4','F',,,326.34,1
1,,'4','F',,,307.06,1
1,,'2','F',,,646.92,1
1,,'5','F',,,526.09,1
1,,'2','F',,,349.85,1
1,,'1','M',,,153.08,1
1,,'2','F',,,141.83,1
1,,'2','F',,,22.43,1
1,,'2','F',,,388.51,1
1,,'5','F',,,41.98,1
2,,'4','F',,,788.67,1
2,,'0','F',,,1167.18,1
2,,'2','F',,,184.72,1
2,,'3','M',,,258.01,1
2,,'3','F',,,30.04,1
2,,'3','F','M857378720','es_hotelservices',586.05,1
2,,'4','F','M480139044','es_health',663.53,1
2,,'2','M','M480139044','es_health',297.09,1
2,,'5','F','M1198415165','es_wellnessandbeauty',110.9,1
2,,'1','F','M1198415165','es_wellnessandbeauty',486.35,1
2,,'5','F','M980657600','es_sportsandtoys',1022.06,1
2,,'2','F','M980657600','es_sportsandtoys',532.05,1
2,,'2','F','M17379832','es_sportsandtoys',253.25,1
2,,'4','M','M17379832','es_sportsandtoys',38.2,1
2,,'5','F','M480139044','es_health',264.99,1
2,,'2','F','M480139044','es_health',143.1,1
2,,'1','F','M923029380','es_home',29.82,1
2,,'2','F','M923029380','es_home',503.68,1
2,,'4','F','M980657600','es_sportsandtoys',478.89,1
2,,'2','M',,,283.25,1
2,,'2','F',,,243.05,1
2,,'1','F',,,415.19,1
2,,'6','F',,,195.81,1
2,,'6','F',,,42.64,1
2,,'5','F',,,891,1
2,,'5','F',,,1304.93,1
2,,'3','F',,,41.48,1
2,,'2','F',,,572.01,1
2,,'4','M',,,242.03,1
2,,'4','F',,,272.16,1
2,,'2','M',,,43.89,1
2,,'4','F',,,546.26,1
2,,'2','F',,,158.25,1
2,,'4','M',,,358.25,1
2,,'3','M',,,1079.27,1
