step,customer,age,gender,merchant,category,amount,fraud
0,'C583110837','3','M','M480139044','es_health',44.26,1
0,'C1332295774','3','M','M480139044','es_health',324.5,1
0,'C1160421902','3','M','M857378720','es_hotelservices',176.32,1
0,'C966214713','3','M','M857378720','es_hotelservices',337.41,1
0,'C1450140987','4','F','M1198415165','es_wellnessandbeauty',220.11,1
0,'C60026962','2','F','M1198415165','es_wellnessandbeauty',4.32,1
0,'C1685492470','2','F','M980657600','es_sportsandtoys',278.02,1
0,'C1275518867','5','F','M980657600','es_sportsandtoys',69.53,1
0,'C1734487337','4','F','M1741626453','es_sportsandtoys',70.15,1
0,'C204205576','3','F','M1741626453','es_sportsandtoys',238.82,1
0,'C583110837','3','M','M480139044','es_health',667.09,1
0,'C1079254393','1','F','M480139044','es_health',520.5,1
0,'C330615170','2','F','M1535107174','es_wellnessandbeauty',190.53,1
0,'C330615170','2','F','M1535107174','es_wellnessandbeauty',451.92,1
0,'C1275518867','5','F','M980657600','es_sportsandtoys',305.11,1
0,'C1685492470','2','F','M980657600','es_sportsandtoys',764,1
0,'C1038215695','4','M','M2122776122','es_home',328.02,1
0,'C1764447156','3','F','M2122776122','es_home',707.22,1
0,'C555482626','3','F','M209847108','es_wellnessandbeauty',198.58,1
0,'C792341594','3','M','M209847108','es_wellnessandbeauty',304.21,1
0,'C2027310658','4','F','M1535107174','es_wellnessandbeauty',154.77,1
0,'C967677653','4','F','M1535107174','es_wellnessandbeauty',122.04,1
0,'C375144053','6','F','M980657600','es_sportsandtoys',881.04,1
0,'C375144053','6','F','M980657600','es_sportsandtoys',83.07,1
0,'C1490048317','6','F','M209847108','es_wellnessandbeauty',432.27,1
0,'C1490048317','6','F','M209847108','es_wellnessandbeauty',87.68,1
0,'C1685492470','2','F','M480139044','es_health',289.21,1
0,'C1275518867','5','F','M480139044','es_health',560.9,1
0,'C1977646698','3','F','M1198415165','es_wellnessandbeauty',135.11,1
0,'C1977646698','3','F','M1198415165','es_wellnessandbeauty',256.37,1
0,'C1560676680','2','F','M1888755466','es_otherservices',66.6,1
0,'C1171622243','5','M','M1888755466','es_otherservices',189.22,1
0,'C375144053','6','F','M980657600','es_sportsandtoys',364.68,1
0,'C525850964','2','F','M980657600','es_sportsandtoys',398.57,1
0,'C179390259','4','F','M547558035','es_fashion',119.81,1
0,'C179390259','4','F','M547558035','es_fashion',506.77,1
0,'C1685492470','2','F','M980657600','es_sportsandtoys',383.14,1
0,'C375144053','6','F','M980657600','es_sportsandtoys',321.7,1
0,'C1079254393','1','F','M480139044','es_health',908.5,1
0,'C1175850429','4','M','M480139044','es_health',142.86,1
1,'C1450140987','4','F','M980657600','es_sportsandtoys',255.14,1
1,'C1450140987','4','F','M980657600','es_sportsandtoys',21.93,1
1,'C1490048317','6','F','M1535107174','es_wellnessandbeauty',212.16,1
1,'C1143401925','1','F','M1535107174','es_wellnessandbeauty',329.13,1
1,'C436675602','2','M','M480139044','es_health',933.69,1
1,'C894204131','1','M','M480139044','es_health',132.13,1
1,'C583110837','3','M','M3697346','es_leisure',285.16,1
1,'C1079254393','1','F','M3697346','es_leisure',352.7,1
1,'C1174735331','3','F','M1649169323','es_sportsandtoys',1041.31,1
1,'C957324981','4','M','M1649169323','es_sportsandtoys',591.83,1
1,'C375144053','6','F','M923029380','es_home',298.44,1
1,'C375144053','6','F','M923029380','es_home',112.77,1
1,'C1079254393','1','F','M480139044','es_health',905.54,1
1,'C375144053','6','F','M480139044','es_health',1126.96,1
1,'C1273692645','3','M','M480139044','es_health',222.26,1
1,'C1273692645','3','M','M480139044','es_health',399.22,1
1,'C1764447156','3','F','M495352832','es_travel',3387.85,1
1,'C1354768768','1','F','M495352832','es_travel',6888.3,1
1,'C1464489812','4','M','M980657600','es_sportsandtoys',397.63,1
1,'C309177915','3','M','M980657600','es_sportsandtoys',92.01,1
1,'C1464489812','4','M','M480139044','es_health',809.46,1
1,'C1338125837','3','F','M480139044','es_health',896.93,1
1,'C1434797923','3','M','M857378720','es_hotelservices',396.36,1
1,'C1275518867','5','F','M857378720','es_hotelservices',661.53,1
1,'C1338125837','3','F','M480139044','es_health',801.49,1
1,'C583110837','3','M','M480139044','es_health',149.11,1
1,'C1275518867','5','F','M480139044','es_health',265.33,1
1,'C1338125837','3','F','M480139044','es_health',167.27,1
1,'C1181615831','3','M','M17379832','es_sportsandtoys',836.04,1
1,'C1556534733','3','F','M17379832','es_sportsandtoys',195.37,1
1,'C2018553540','4','F','M3697346','es_leisure',326.34,1
1,'C2018553540','4','F','M3697346','es_leisure',307.06,1
1,'C2005070127','2','F','M2122776122','es_home',646.92,1
1,'C1275518867','5','F','M2122776122','es_home',526.09,1
1,'C2079384186','2','F','M1294758098','es_leisure',349.85,1
1,'C1237476993','1','M','M1294758098','es_leisure',153.08,1
1,'C1685492470','2','F','M547558035','es_fashion',141.83,1
1,'C1454826238','2','F','M547558035','es_fashion',22.43,1
1,'C1791524453','2','F','M480139044','es_health',388.51,1
1,'C1275518867','5','F','M480139044','es_health',41.98,1
2,'C732771224','4','F','M2122776122','es_home',788.67,1
2,'C422403315','0','F','M2122776122','es_home',1167.18,1
2,'C1949984685','2','F','M1294758098','es_leisure',184.72,1
2,'C792341594','3','M','M1294758098','es_leisure',258.01,1
2,'C1859195979','3','F','M857378720','es_hotelservices',30.04,1
2,'C1859195979','3','F','M857378720','es_hotelservices',586.05,1
2,'C179390259','4','F','M480139044','es_health',663.53,1
2,'C553434543','2','M','M480139044','es_health',297.09,1
2,'C1275518867','5','F','M1198415165','es_wellnessandbeauty',110.9,1
2,'C1205257074','1','F','M1198415165','es_wellnessandbeauty',486.35,1
2,'C1275518867','5','F','M980657600','es_sportsandtoys',1022.06,1
2,'C1560676680','2','F','M980657600','es_sportsandtoys',532.05,1
2,'C1685492470','2','F','M17379832','es_sportsandtoys',253.25,1
2,'C1367581052','4','M','M17379832','es_sportsandtoys',38.2,1
2,'C1275518867','5','F','M480139044','es_health',264.99,1
2,'C2079384186','2','F','M480139044','es_health',143.1,1
2,'C1079254393','1','F','M923029380','es_home',29.82,1
2,'C525850964','2','F','M923029380','es_home',503.68,1
2,'C1312615175','4','F','M980657600','es_sportsandtoys',478.89,1
2,'C1173530601','2','M','M980657600','es_sportsandtoys',283.25,1
2,'C656851338','2','F','M1748431652','es_wellnessandbeauty',243.05,1
2,'C1079254393','1','F','M1748431652','es_wellnessandbeauty',415.19,1
2,'C576436654','6','F','M151143676','es_barsandrestaurants',195.81,1
2,'C576436654','6','F','M151143676','es_barsandrestaurants',42.64,1
2,'C1275518867','5','F','M732195782','es_travel',891,1
2,'C1275518867','5','F','M732195782','es_travel',1304.93,1
2,'C615281750','3','F','M1888755466','es_otherservices',41.48,1
2,'C1307336396','2','F','M1888755466','es_otherservices',572.01,1
2,'C656901929','4','M','M1294758098','es_leisure',242.03,1
2,'C1450140987','4','F','M1294758098','es_leisure',272.16,1
2,'C1920498287','2','M','M980657600','es_sportsandtoys',43.89,1
2,'C2018553540','4','F','M980657600','es_sportsandtoys',546.26,1
2,'C525850964','2','F','M980657600','es_sportsandtoys',158.25,1
2,'C1736605496','4','M','M980657600','es_sportsandtoys',358.25,1
2,'C309177915','3','M','M980657600','es_sportsandtoys',1079.27,1
